ID,,lat,long
IL3A26,ITH.L3.A.26,68.906,-133.497
IL3A34,ITH.L3.A.34,68.906,-133.497
TL3A5,TVC.L3.A.5,68.739,-133.522
TL3A11,TVC.L3.A.11,68.740,-133.523
TL3A24,TVC.L3.A.24,68.740,-133.523
TD1A7,TVC.D1.A.7,68.755,-133.463
TL3A28,TVC.L3.A.28,68.740,-133.522
TL3A31,TVC.L3.A.31,68.740,-133.522
TL3A34,TVC.L3.A.34,68.740,-133.522
A096,ITH.L45.A.96,68.565,-133.742
A106,ITH.L45.A.106,68.565,-133.742
A113,ITH.L45.A.113,68.565,-133.742
A129,ITH.L45.A.129,68.565,-133.742
A194,ITH.L48.A.194,68.556,-133.776
A214,ITH.L48.A.214,68.556,-133.777
A222,ITH.L48.A.222,68.556,-133.777
A228,ITH.L48.A.228,68.556,-133.776
A253,ITH.L49.A.253,68.678,-133.583
A274,ITH.L50.A.274,69.244,-132.904
A286,ITH.L50.A.286,69.244,-132.904
A314,ITH.L51.A.314,69.267,-132.907
A320,ITH.L51.A.320,69.267,-132.906
A336,ITH.L51.A.336,69.267,-132.906
A386,ITH.L54.A.386,69.345,-133.046
A474,ITH.L56.A.474,69.315,-133.002
A489,ITH.L56.A.489,69.315,-133.002
A510,ITH.D57.A.510,69.250,-132.902
A526,ITH.D57.A.526,69.250,-132.902
A530,ITH.D57.A.530,69.250,-132.902
A532,ITH.D57.A.532,69.250,-132.902
A541,ITH.L58.A.541,69.251,-132.904
A543,ITH.L58.A.543,69.251,-132.904
A562,ITH.L58.A.562,69.250,-132.905
A582,ITH.D60.A.582,69.250,-132.895
A593,ITH.D60.A.593,69.250,-132.895
A599,ITH.D60.A.599,69.250,-132.895
A604,ITH.D60.A.604,69.250,-132.895
A830,ITH.L81.A.830,68.796,-133.532
A846,ITH.L81.A.846,68.796,-133.531
A847,ITH.L81.A.847,68.796,-133.530
A1011,ITH.L47.A.1011,68.564,-133.742
A1042,ITH.U.A.1042,68.836,-133.562
A1041,ITH.LR05.A.1041,68.777,-133.541
A1082,ITH.D15.A.1082,69.199,-132.931
A1106,ITH.L3.A.1106,68.906,-133.498
A1114,ITH.DL99.A.1114,69.011,-133.314
A1116,ITH.L102.A.1116,69.017,-133.270
A1117,ITH.L9.A.1117,69.143,-133.037
A1124,ITH.L102.A.1124,69.042,-133.208
A1126,ITH.L9.A.1126,69.143,-133.037
A1133,ITH.L105.A.1133,69.359,-133.042
A1892,ITH.DL90.A.1892,68.863,-133.558
