,D41W11,L1R8,IL1W12,IL1W21,IL1W25,IL1W28,IL3W38,TL1W7,TL1W8,TL1W19,TL3W19,TL3W42,IL3W20,IL3W49,IL12W10,W010,W045,W050,W053,W068,W072,W073,W090,W092,W225,W240,W264,W265,W326,W348,W354,W356,W381,W397,W407,W409,W413,W425,W431,W441,W448,W453,W478,W497,W628,W634,W658,W666,W668,W683,W709,W724,W732,W781,W783,R818,W823,W1030,W1031,W1032,W1043,W1081,W1112,W1113,W1118,W1119,W1120,W1121,W1122,W1123,W1131,W1132,W1134
1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23035,,,,,,,,,,,,,,,,,,,,,,0.1605,,,,,,,,,
1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3011,,,,,,,,,,,,,,,,,,,,,,0.092333333,,,,,,,,,
1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24125,,,,,,,,,,,,,,,,,,,,,,0.1275,,,,,,,,,
1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30795,,,,,,,,,,,,,,,,,,,,,,0.08825,,,,,,,,,
1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1814,,0.351666667,,,,,,,,,,,,,,,,,,,,0.0695,,,,,,,,,
1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2616,,0.347666667,,,,,,,,,,,,,,,,,,,,0.07425,,,,,,,,,
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23505,,0.309666667,,,,,,,,,,,,,,,,,,,,0.1354,,,,,,,,,
1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19985,,0.289333333,,,,,,,,,,,,,,,,,,,,0.1348,,,,,,,,,
1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16825,,0.531666667,,,,,,,,,,,,,,,,,,,,0.1162,,,,,,,,,
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1137,,0.41,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,
1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1737,,0.562,,,,,,,,,,,,,,,,,,,,0.094,,,,,,,,,
1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.178,,0.517333333,,,,,,,,,,,,,,,,,,,,0.0918,,,,,,,,,
1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1582,,0.244,,,,,,,,,,,,,,,,,,,,0.1188,,,,,,,,,
1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14765,,0.441666667,,,,,,,,,,,,,,,,,,,,0.1084,,,,,,,,,
1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118,,0.274333333,,,,,,,,,,,,,,,,,,,,0.1556,,,,,,,,,
1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1386,,0.535333333,,,,,,,,,,,,,,,,,,,,0.3198,,,,,,,,,
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3605,,,,,,,,,,,,,0.11735,,0.534333333,,,,,,,,,,,,,,,,,,,,0.4254,,,,,,,,,
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.927,,,,,,,,,,,,,0.096,,0.635,,,,,,,,,,,,,,,,,,,,0.579,,,,,,,,,
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88475,,,,,,,,,,,,,0.11925,0.56985,0.541,,,,,,,,,,,,,,,,,,0.283666667,,0.5954,,,,,,,,,
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33575,,,,,,,,,,,,,0.11865,0.5511,0.4225,,,,,,,,,,,,,,,,,,0.468,,0.465,,,,,,,,,
1975,,,,,,,,,,,,,,0.1346,,,,,,,,,,,,,,,0.44775,,,,,,,,,,,,,0.12145,0.59565,0.571666667,,,,,,,,,,,,,,,,,,0.497,,0.4094,,,,,,,,,
1976,,,,,,,,,,,,,,0.41327,,,,,,,,,,,,,,,0.2865,,,,0.231115086,,,,,,,,,0.12615,0.47575,0.908666667,,,,,,,,,,,,,,,,,,0.3825,,0.403,,,,,,,,,
1977,,,,,,,,,,,,,,0.27793,,,,,,,,,,,,,,,0.3765,,,,0.471453914,,,,,,,,,0.0968,0.2797,0.532333333,,,,,,,,,,,,,,,,,,0.37775,,0.3062,,,,,,,,,
1978,,,,,,,,,,,,,,0.45413,,,,,,,,,,,,,,,0.40775,,,,0.512637857,,,,,,,,,0.13745,0.35275,0.631666667,,,,,,,,,,,,,,,,,,0.43625,,0.44,,,,,,,,,
