ID,lat,long
ID41W11,68.633,-133.656
IL1W8,68.632,-133.652
IL1W12,68.632,-133.651
IL1W21,68.632,-133.651
IL1W25,68.632,-133.651
IL1W28,68.632,-133.651
IL3W38,68.906,-133.497
TL1W7,68.755,-133.465
TL1W8,68.755,-133.465
TL1W19,68.755,-133.465
TL3W19,68.73965397,-133.522731
TL3W42,68.74,-133.522
IL3W20,68.906,-133.497
IL3W49,68.905,-133.497
IL12W10,68.56,-133.742
W010,68.558,-133.743
W045,68.631,-133.651
W050,68.631,-133.651
W053,68.631,-133.651
W068,68.668,-133.562
W072,68.668,-133.562
W073,68.668,-133.562
W090,68.668,-133.562
W092,68.668,-133.562
W225,68.556,-133.777
W240,68.678,-133.582
W264,68.678,-133.582
W265,68.678,-133.582
W326,69.267,-132.906
W348,69.267,-132.907
W354,69.351,-133.03
W356,69.351,-133.03
W381,69.344,-133.047
W397,69.344,-133.048
W407,69.346,-133.032
W409,69.346,-133.032
W413,69.346,-133.032
W425,69.346,-133.033
W431,69.346,-133.033
W441,69.345,-133.043
W448,69.345,-133.043
W453,69.345,-133.043
W478,69.315,-133.002
W497,69.315,-133.002
W628,68.632,-133.651
W634,68.631,-133.651
W658,68.633,-133.655
W666,68.633,-133.655
W668,68.633,-133.655
W683,68.633,-133.655
W709,68.633,-133.657
W724,68.633,-133.655
W732,68.633,-133.655
W781,68.633,-133.662
W783,68.633,-133.661
W818,68.633,-133.664
W823,68.633,-133.664
W1030,68.633,-133.656
W1031,68.633,-133.656
W1032,68.633,-133.656
W1043,68.836,-133.562
W1081,69.199,-132.931
W1112,68.898,-133.544
W1113,68.898,-133.544
W1118,69.143,-133.038
W1119,69.143,-133.038
W1120,69.143,-133.038
W1121,69.143,-133.038
W1122,69.042,-133.208
W1123,69.042,-133.208
W1131,69.359,-133.043
W1132,69.359,-133.043
W1134,69.359,-133.042
