year,IL3A26,IL3A34,TL3A5,TL3A11,TL3A24,TD1A7,TL3A28,TL3A31,TL3A34,A096,A106,A113,A129,A194,A214,A222,A228,A253,A274,A286,A314,A320,A336,A386,A474,A489,A510,A526,A530,A532,A541,A543,A562,A582,A593,A599,A604,A830,A846,A847,A1011,A1041,A1042,A1082,A1106,A1114,A1116,A1117,A1124,A1126,A1133,A1892
2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
2022,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pFEW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FLW, BLW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEW,0,0,0,0,0,0,0,0,0,0,0,0,0,pDEW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,pFEW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,FLW,0,pFLW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,FLW,0,0,0,0,pDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,pDLW,0,0,0,0,0,0,0,0,0,0,0,0,0,LLW,0,LLW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,pBEW,FEW,0,pFEW,pFEW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FEW,"FEW, BEW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,FEW,0,0,0,pFEW,0,0,0,0,0,0,0,0,0,0
2014,0,0,pFEW,0,"pFLW, pBLW",0,0,FLW,0,0,pFEW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,"pFEW, pFLW","BLW, pFLW",0,0,0,0,"pDEW, pFLW",0,0,0,0,0,0,0,0,0,0,FLW,FLW,0,0,0,0,0,0,0,0,0,FLW,0,pBLW,0,0,0,0,0,"DLW, pBLW",0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,,0,,0,0,FLW,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,,pDLW,,0,FLW,FLW,farLW,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pDLW,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,LLW,0,,0,,,0,,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,,0,,,0,,FLW,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,DR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,,,,,FLW,,FLW,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,,,,,,,pFLW,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,FEW,0,pFEW,,0,0,0,0,0,0,0,0,0,0,FEW
2002,LLW,0,,,,,,,,0,,,,"LEW,LLW",0,0,0,"pFLW, pBLW",0,FLW,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,"BLW, FLW",0,pFLW,,0,FEW,0,0,0,0,0,0,0,0,FLW
2001,0,0,,,,,,,,0,,,,"LEW,LLW",0,0,0,0,0,FLW,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,pBLW,"FLW, BLW",0,0,0,0,0,0,0,0,FEW
2000,0,0,,,,,,,,0,,,,"LEW,LLW",pBLW,0,0,0,0,BLW,0,,,0,0,pBLW,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,pBLW,0,0,0,0,0,0
1999,0,0,,,,,,,,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,pFLW,0,0,0,0,0,0,0,0,0
1998,0,0,,,,,,,,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
1997,0,0,,,,,,,,0,,,,0,pFEW,0,0,FEW,0,0,0,,,0,0,0,0,0,0,0,0,0,FEW,0,,0,0,0,0,pFEW,,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,,,,,,,,pFLW,,,,0,"pBLW, pFLW",0,0,FLW,0,"FELW, BLW",0,,,0,0,BLW,0,0,0,0,0,0,"BLW, FLW",0,,0,0,FLW,0,"FLW, pBLW",,0,0,0,0,pFLW,0,0,0,pBLW,0,FLW
1995,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
1994,0,0,,,,,,,,,,,,0,pFEW,0,0,0,0,,0,,,0,0,0,0,0,0,0,pBEW,0,pDEW,0,,0,0,FEW,0,pFEW,,0,0,pFLW. pFEW,0,pFLW,0,0,0,0,0,
1993,0,0,,,,,,,,,,,,0,0,0,0,,0,,0,,,0,0,0,0,0,0,0,pLEW,0,0,0,,0,0,FEW,0,0,,0,pFEW,pFEW,pFEW,0,0,0,0,0,0,
1992,0,0,,,,,,,,,,,,0,0,0,0,,0,,0,,,0,0,0,0,0,0,0,0,0,FLW,0,,0,0,FLW,0,0,,0,pFLW,pFLW,"FLW, BLW",pFLW,0,0,0,0,0,
1991,pFEW,0,,,,,,,,,,,,0,0,pFEW,"FEW, pFLW",,0,,0,,,0,FEW,0,0,0,0,0,0,0,FLW,0,,0,0,0,0,0,,"pFEW, pFaLW",pFEW,0,0,0,0,0,0,0,0,
1990,"BLW,FLW",0,,,,,,,,,,,,0,0,0,0,,0,,0,,,0,0,0,0,0,0,0,0,0,pFEW,0,,0,0,0,0,0,,pFLW,pFLW,0,0,0,0,0,0,FLW,0,
1989,,0,,,,,,,,,,,,0,0,0,0,,0,,0,,,0,0,,0,0,0,0,pBLW,0,"BLW, FLW",0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,
1988,,0,,,,,,,,,,,,0,0,0,0,,0,,0,,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,
1987,,0,,,,,,,,,,,,0,,,0,,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,,0,,0,0,0,0,
1986,,0,,,,,,,,,,,,0,,,0,,0,,0,,,0,,,0,0,0,0,,0,0,0,,0,,,0,0,,,,0,,0,,0,0,,0,
1985,,0,,,,,,,,,,,,0,,,0,,0,,0,,,0,,,0,0,0,0,,0,pFEW,0,,0,,,0,0,,,,0,,0,,0,0,,pFEW,
1984,,,,,,,,,,,,,,0,,,0,,0,,pFLW,,,0,,,0,0,0,0,,pFLW,"FLW,BLW",0,,0,,,0,0,,,,0,,0,,0,0,,pFLW,
1983,,,,,,,,,,,,,,0,,,0,,0,,0,,,0,,,0,0,,0,,0,0,0,,,,,0,0,,,,0,,0,,0,0,,0,
1982,,,,,,,,,,,,,,0,,,0,,0,,0,,,0,,,0,,,,,0,0,0,,,,,0,0,,,,0,,0,,0,0,,0,
1981,,,,,,,,,,,,,,0,,,0,,0,,0,,,0,,,0,,,,,0,0,0,,,,,0,0,,,,0,,0,,0,0,,pFEW,
1980,,,,,,,,,,,,,,pFLW,,,0,,0,,FLW,,,0,,,0,,,,,FLW,"pFLW,pBLW",0,,,,,0,0,,,,0,,pBLW,,0,0,,pFLW,
1979,,,,,,,,,,,,,,0,,,0,,0,,0,,,0,,,0,,,,,0,0,0,,,,,0,,,,,0,,0,,0,0,,0,
1978,,,,,,,,,,,,,,0,,,0,,0,,0,,,0,,,0,,,,,0,0,0,,,,,0,,,,,0,,0,,0,0,,0,
1977,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,,,,,0,0,0,,,,,,,,,,0,,0,,0,0,,0,
1976,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,,,,,DEW,pFEW,0,,,,,,,,,,0,,0,,0,0,,,
1975,,,,,,,,,,,,,,,,,,,0,,,,,FEW,,,0,,,,,"FEW, DLW","FEW, pFLW",FEW,,,,,,,,,,0,,0,,0,0,,,
1974,,,,,,,,,,,,,,,,,,,,,,,,"FLW, pBLW",,,0,,,,,FLW,"FLW, BLW","BLW,FLW",,,,,,,,,,0,,0,,0,0,,,
1973,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,,,,,,,,,0,,0,,0,0,,,
1972,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,,,,,,,,,,0,,0,,,0,,,
1971,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,,,0,,,
1970,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,,,pFEW,,,
1969,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,BLW,,,,,,,,,,0,,0,,,FLW,,,
1968,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,,,0,,,
1967,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,FEW,,,0,,,
1966,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,pFEW,,,0,,,
1965,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,pBLW,,,pFLW,,,
1964,,,,,,,,,,,,,,,,,,,,,,,,pBLW,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,
1963,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1962,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1961,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1960,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1959,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1958,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1957,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1956,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1955,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1954,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1953,,,,,,,,,,,,,,,,,,,,,,,,pFLW,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1952,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1951,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1950,,,,,,,,,,,,,,,,,,,,,,,,FLW,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1949,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1948,,,,,,,,,,,,,,,,,,,,,,,,FEW,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1947,,,,,,,,,,,,,,,,,,,,,,,,FLW,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1946,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pBLW,,,,,,,,
1922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
