,IL3A26,IL3A34,TL3A5,TL3A24,TD1A7,TL3A11,TL3A28,TL3A31,TL3A34,A096,A106,A113,A129,A194,A214,A222,A228,A253,A274,A286,A314,A320,A336,A386,A474,A489,A510,A526,A530,A532,A541,A543,A562,A582,A593,A599,A604,A830,A846,A847,A1011,A1041,A1042,A1082,A1106,A1114,A1116,A1117,A1124,A1126,A1133,A1892
1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.686,,,,,,,,
1918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.426666667,,,,,,,,
1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.441333333,,,,,,,,
1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284333333,,,,,,,,
1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.746,,,,,,,,
1922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.645333333,,,,,,,,
1923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.965333333,,,,,,,,
1924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245333333,,,,,,,,
1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323,,,,,,,,
1926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251666667,,,,,,,,
1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.177666667,,,,,,,,
1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185,,,,,,,,
1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.371666667,,,,,,,,
1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272666667,,,,,,,,
1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.253333333,,,,,,,,
1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.334666667,,,,,,,,
1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.372333333,,,,,,,,
1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237666667,,,,,,,,
1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247666667,,,,,,,,
1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.105666667,,,,,,,,
1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.219333333,,,,,,,,
1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172333333,,,,,,,,
1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.223,,,,,,,,
1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.411666667,,,,,,,,
1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.376333333,,,,,,,,
1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.181333333,,,,,,,,
1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.342,,,,,,,,
1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274333333,,,,,,,,
1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166,,,,,,,,
1946,,,,,,,,,,,,,,,,,,,,,,,,0.596538667,,,,,,,,,,,,,,,,,,,,0.077,,,,,,,,
1947,,,,,,,,,,,,,,,,,,,,,,,,0.41531725,,,,,,,,,,,,,,,,,,,,0.112666667,,,,,,,,
1948,,,,,,,,,,,,,,,,,,,,,,,,0.39826775,,,,,,,,,,,,,,,,,,,,0.095333333,,,,,,,,
1949,,,,,,,,,,,,,,,,,,,,,,,,0.2370105,,,,,,,,,,,,,,,,,,,,0.026,,,,,,,,
1950,,,,,,,,,,,,,,,,,,,,,,,,0.3658045,,,,,,,,,,,,,,,,,,,,0.207333333,,,,,,,,
1951,,,,,,,,,,,,,,,,,,,,,,,,0.63176225,,,,,,,,,,,,,,,,,,,,0.092666667,,,,,,,,
1952,,,,,,,,,,,,,,,,,,,,,,,,0.65507625,,,,,,,,,,,,,,,,,,,,0.171,,,,,,,,
1953,,,,,,,,,,,,,,,,,,,,,,,,0.3010085,,,,,,,,,,,,,,,,,,,,0.111666667,,,,,,,,
1954,,,,,,,,,,,,,,,,,,,,,,,,0.67344675,,,,,,,,,,,,,,,,,,,,0.144666667,,,,,,,,
1955,,,,,,,,,,,,,,,,,,,,,,,,0.8000305,,,,,,,,,,,,,,,,,,,,0.016,,,,,,,,
1956,,,,,,,,,,,,,,,,,,,,,,,,0.62779875,,,,,,,,,,,,,,,,,,,,0.139,,,,,,,,
1957,,,,,,,,,,,,,,,,,,,,,,,,0.50192275,,,,,,,,,,,,,,,,,,,,0.080333333,,,,,,,,
1958,,,,,,,,,,,,,,,,,,,,,,,,1.08715375,,,,,,,,,,,,,,,,,,,,0.075,,,,,,,,
1959,,,,,,,,,,,,,,,,,,,,,,,,0.72843025,,,,,,,,,,,,,,,,,,,,0.019,,,,,,,,
1960,,,,,,,,,,,,,,,,,,,,,,,,0.59637525,,,,,,,,,,,,,,,,,,,,0.075666667,,,,,,,,
1961,,,,,,,,,,,,,,,,,,,,,,,,0.7588055,,,,,,,,,,,,,,,,,,,,0.139,,,,,,,,
1962,,,,,,,,,,,,,,,,,,,,,,,,0.92246075,,,,,,,,,,,,,,,,,,,,0.087333333,,,,,,,,
1963,,,,,,,,,,,,,,,,,,,,,,,,0.9472325,,,,,,,,,,,,,,,,,,,,0.064,,,,,,,,
1964,,,,,,,,,,,,,,,,,,,,,,,,0.69876625,,,,,,,,,,,,,,,,,,,,0.035666667,,,,,0.395333333,,,
1965,,,,,,,,,,,,,,,,,,,,,,,,0.97363425,,,,,,,,,,,,,,,,,,,,0.15,,0.161666667,,,1.119333333,,,
1966,,,,,,,,,,,,,,,,,,,,,,,,0.70974875,,,,,,,,,,,,,,,,,,,,0.065,,0.545666667,,,0.661333333,,,
1967,,,,,,,,,,,,,,,,,,,,,,,,0.535698,,,,,,,,,,,,,,,,,,,,0.06,,0.593333333,,,0.445666667,,,
