year,ID41W11,IL1W8,IL1W12,IL1W21,IL1W25,IL1W28,IL3W20,IL3W38,IL3W49,IL12W10,TL1W7,TL1W8,TL1W19,TL3W19,TL3W42,W010,W045,W050,W053,W068,W072,W073,W090,W092,W225,RW240,W264,W265,W326,W348,W354,W356,W381,W397,W407,W409,W413,W425,W431,W441,W448,W453,W478,W497,W628,W634,W658,W666,W668,W683,W709,W724,W732,W781,W783,W818,W823,W1030,W1031,W1032,W1043,W1081,W1112,W1113,W1118,W1119,W1120,W1121,W1122,W1123,W1131,W1132,W1134
2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LEW,LLW",0,0,0,"LEW,LLW",0,0,0,0,"LEW,LLW","LEW,LLW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LEW,LLW",0,0,0,0,0,0,0,0,"LEW,LLW","LEW,LLW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,0,0,0,LLW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LLW,LLW,0,BLW,0,0,0,0,0,0,0,0,0,"LEW,LLW",0,0,0,"LEW,LLW",0,0,0,0,"LEW,LLW","LEW,LLW","LEW,LLW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pDEW,0,pFEW,0,"LEW,LLW",0,0,0,0,0,0,0,0,0,0,0,pFEW,0,0,0,0,pFEW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,LLW,0,0,0,BLW,0,0,"BLW, pDEW","BLW, pDEW",LLW,0,0,0,0,0,pDEW,0,0,0,0,0,0,0,0,0,0,0,0,0,LLW,"LEW,LLW",0,0,pBLW,0,0,0,0,0,0,BLW,0,"LEW,LLW",0,0,0,0,0,"LEW,LLW",0,0,0,0,0,0,0,0,pLEW,0,0,0,0,pLLW,0,pLLW,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,pDEW,pDEW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BEW,LEW,LLW",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2016,"pFLW, LLW",0,0,0,0,0,0,0,0,LEW,0,0,0,0,0,0,0,pBLW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pFLW,0,"pLEW,pLLW",pFLW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pFEW,0,0,0,0,LLW,LLW,0,0,0,LLW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
2014,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pFLW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
2013,0,0,pBLW,0,0,0,0,,0,"pDMW, pFMW?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
2012,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
2011,0,0,0,0,0,0,0,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
2010,0,0,pDEW,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pLEW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0
2009,0,0,pDW,0,0,0,0,,0,,,,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pDEW,pFEW,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0
2008,0,0,0,0,0,0,0,,0,,,,,,0,0,0,0,0,0,,,0,0,0,BLW,0,0,0,0,0,0,0,0,0,0,0,0,pDLW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0
2007,0,0,0,0,0,0,0,,0,,,,,,0,0,pBLW,0,0,0,,,0,0,0,,"LEW,LLW",LEW/LLW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0
2006,0,0,0,0,pDELW,0,0,,0,,,,,,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0
2005,0,0,0,0,0,0,0,,0,,,,,,0,0,,0,0,0,,,0,0,0,,0,0,0,0,FEW,0,0,0,,0,0,pDLW,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0
2004,0,0,,0,,0,0,,0,,,,,,0,0,,,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0
