"series","ro","ro_round1","keep"
"IL3A26",0.60845383759733,0.6,TRUE
"IL3A34",0.356756756756757,0.4,TRUE
"TL3A5",0.636363636363636,0.6,TRUE
"TL3A24",0.55,0.6,TRUE
"TD1A7",0.567857142857143,0.6,TRUE
"TL3A11",0.294117647058824,0.3,TRUE
"TL3A28",0.824561403508772,0.8,TRUE
"TL3A31",0.450549450549451,0.5,TRUE
"TL3A34",0.803921568627451,0.8,TRUE
"A096",0.416068376068376,0.4,TRUE
"A106",0.746428571428571,0.7,TRUE
"A113",0.382352941176471,0.4,TRUE
"A129",0.692466460268318,0.7,TRUE
"A194",0.643269908386187,0.6,TRUE
"A214",0.612536656891496,0.6,TRUE
"A222",0.677139037433155,0.7,TRUE
"A228",0.562669888251284,0.6,TRUE
"A253",0.710454296661193,0.7,TRUE
"A274",0.510522664199815,0.5,TRUE
"A286",0.580586080586081,0.6,TRUE
"A314",0.394861660079051,0.4,TRUE
"A320",0.357575757575757,0.4,TRUE
"A336",0.321212121212121,0.3,TRUE
"A386",0.327255772075375,0.3,TRUE
"A474",0.647058823529412,0.6,TRUE
"A489",0.40942513368984,0.4,TRUE
"A510",0.491699604743083,0.5,TRUE
"A526",0.423481781376518,0.4,TRUE
"A530",0.736513841777,0.7,TRUE
"A532",0.521235521235521,0.5,TRUE
"A541",0.622307104660046,0.6,TRUE
"A543",0.369626574033869,0.4,TRUE
"A562",0.576433857539315,0.6,TRUE
"A582",0.608554597455818,0.6,TRUE
"A593",0.605263157894737,0.6,TRUE
"A599",0.559908086223876,0.6,TRUE
"A604",0.526661573720397,0.5,TRUE
"A830",0.528225806451613,0.5,TRUE
"A846",0.509654686398872,0.5,TRUE
"A847",0.602090592334495,0.6,TRUE
"A1011",0.610294117647059,0.6,TRUE
"A1041",0.599227799227799,0.6,TRUE
"A1042",0.511993888464477,0.5,TRUE
"A1082",0.322102924842651,0.3,TRUE
"A1106",0.653781512605042,0.7,TRUE
"A1114",0.406132756132756,0.4,TRUE
"A1116",0.579977753058954,0.6,TRUE
"A1117",0.541020408163265,0.5,TRUE
"A1124",0.547106954997078,0.5,TRUE
"A1126",0.537451737451738,0.5,TRUE
"A1133",0.459025032938076,0.5,TRUE
"A1892",0.519430760810071,0.5,TRUE
