"year","sss"
1968,0.798651518677994
1969,0.798651518677994
1970,0.798651518677994
1971,0.798651518677994
1972,0.829447312098703
1973,0.871450963274538
1974,0.886413784443169
1975,0.898759146790643
1976,0.898759146790643
1977,0.909118621104922
1978,0.937948452199266
1979,0.937948452199266
1980,0.943088732621182
1981,0.943088732621182
1982,0.943088732621182
1983,0.95178222303551
1984,0.958853270693434
1985,0.961915985316202
1986,0.961915985316202
1987,0.973880266075388
1988,0.980711176740281
1989,0.982155635062612
1990,0.984792853415663
1991,0.985999820408939
1992,0.985999820408939
1993,0.985999820408939
1994,0.987140530766149
1995,0.988220294492638
1996,0.990215528902516
1997,0.990215528902516
1998,0.990215528902516
1999,0.990215528902516
2000,0.990215528902516
2001,0.990215528902516
2002,0.990215528902516
2003,0.991139126248646
2004,0.994417790620288
2005,0.995147250864061
2006,0.995147250864061
2007,0.996513899027364
2008,0.997769961494921
2009,0.997769961494921
2010,0.997769961494921
2011,0.998360634444675
2012,1
2013,1
2014,1
2015,1
2016,1
2017,1
2018,1
2019,1
2020,1
2021,1
2022,0.994417790620288
2023,0.917935713987154
