"series","ro","ro_round1","keep"
"D41W11",0.481818181818182,0.5,TRUE
"L1R8",0.27085020242915,0.3,TRUE
"IL1W12",0.794117647058823,0.8,TRUE
"IL1W21",0.29304347826087,0.3,TRUE
"IL1W25",0.794117647058823,0.8,TRUE
"IL1W28",0.344334975369458,0.3,TRUE
"IL3W38",0.214285714285714,0.2,TRUE
"TL1W7",0.55,0.6,TRUE
"TL1W8",0.571428571428571,0.6,TRUE
"TL1W19",0.872727272727273,0.9,TRUE
"TL3W19",0.466666666666667,0.5,TRUE
"TL3W42",0.358511220580186,0.4,TRUE
"IL3W20",0.331168831168831,0.3,TRUE
"IL3W49",0.436324390995991,0.4,TRUE
"IL12W10",0.690476190476191,0.7,TRUE
"W010",0.523076923076923,0.5,TRUE
"W045",0.441176470588235,0.4,TRUE
"W050",0.610294117647059,0.6,TRUE
"W053",0.505865102639296,0.5,TRUE
"W068",0.466073414905451,0.5,TRUE
"W072",0.302197802197802,0.3,TRUE
"W073",0.538461538461539,0.5,TRUE
"W090",0.464092664092664,0.5,TRUE
"W092",0.324089068825911,0.3,TRUE
"W225",0.669721407624634,0.7,TRUE
"W240",0.551648351648352,0.6,TRUE
"W264",0.57285873192436,0.6,TRUE
"W265",0.370967741935484,0.4,TRUE
"W326",0.563710407239819,0.6,TRUE
"W348",0.597775305895439,0.6,TRUE
"W354",0.666233766233766,0.7,TRUE
"W356",0.523308270676692,0.5,TRUE
"W381",0.561887141535615,0.6,TRUE
"W397",0.726884779516358,0.7,TRUE
"W407",0.261764705882353,0.3,TRUE
"W409",0.849329205366357,0.8,TRUE
"W413",0.372549019607843,0.4,TRUE
"W425",0.594615384615385,0.6,TRUE
"W431",0.579411764705882,0.6,TRUE
"W441",0.385714285714286,0.4,TRUE
"W448",0.508270676691729,0.5,TRUE
"W453",0.199896240721526,0.2,TRUE
"W478",0.493469387755102,0.5,TRUE
"W497",0.372158933036955,0.4,TRUE
"W628",0.414035087719298,0.4,TRUE
"W634",0.753246753246753,0.8,TRUE
"W658",0.802371541501976,0.8,TRUE
"W666",0.424293353705118,0.4,TRUE
"W668",0.625334224598931,0.6,TRUE
"W683",0.712442015438036,0.7,TRUE
"W709",0.383076923076923,0.4,TRUE
"W724",0.45515947467167,0.5,TRUE
"W732",0.436831550802139,0.4,TRUE
"W781",0.663636363636364,0.7,TRUE
"W783",0.637931034482758,0.6,TRUE
"R818",0.595748987854251,0.6,TRUE
"W823",0.657142857142857,0.7,TRUE
"W1030",0.489112903225806,0.5,TRUE
"W1031",0.520689655172414,0.5,TRUE
"W1032",0.543513957307061,0.5,TRUE
"W1043",0.565323565323565,0.6,TRUE
"W1081",0.337997224791859,0.3,TRUE
"W1112",0.509090909090909,0.5,TRUE
"W1113",0.296598847196244,0.3,TRUE
"W1118",0.518226600985222,0.5,TRUE
"W1119",0.389473684210526,0.4,TRUE
"W1120",0.403846153846154,0.4,TRUE
"W1121",0.696491228070175,0.7,TRUE
"W1122",0.657142857142857,0.7,TRUE
"W1123",0.380952380952381,0.4,TRUE
"W1131",0.84812030075188,0.8,TRUE
"W1132",0.699145299145299,0.7,TRUE
"W1134",0.572947214076246,0.6,TRUE
