"year","sss"
1973,0.639675291730086
1974,0.639675291730086
1975,0.677682904355304
1976,0.70929087789373
1977,0.70929087789373
1978,0.70929087789373
1979,0.70929087789373
1980,0.70929087789373
1981,0.735990037359901
1982,0.778621154278015
1983,0.811148942909177
1984,0.811148942909177
1985,0.811148942909177
1986,0.824683698069483
1987,0.836784538600404
1988,0.847667871249685
1989,0.866449809868512
1990,0.882085438034338
1991,0.901175944111578
1992,0.916432764886777
1993,0.925008646801731
1994,0.932571969584899
1995,0.939292066714471
1996,0.948075832316392
1997,0.953215418314971
1998,0.955601120144246
1999,0.95787554350367
2000,0.960046296648823
2001,0.964103908588408
2002,0.969567713887294
2003,0.971242924607295
2004,0.977321914707579
2005,0.983759122016547
2006,0.986037934668072
2007,0.988171780184278
2008,0.990174065300237
2009,0.990174065300237
2010,0.992956255937468
2011,0.995502927339751
2012,0.996304577211095
2013,0.998581053946723
2014,0.998581053946723
2015,0.998581053946723
2016,0.999299877148254
2017,0.999299877148254
2018,1
2019,1
2020,1
2021,1
2022,0.98712209977268
2023,0.847667871249685
